Liste indicateur Boeing,2022,2021,2020,2019
Actifs Circulants (ou Actifs Courants),109523,108666,121642,102229
BFR,N/A,N/A,N/A,N/A
Capitaux propre,-15848,-14846,-18075,-8300
Créance Client,2517,2641,1955,3266
Créance Douteuse,N/A,N/A,N/A,N/A
Dette,152948,153398,170211,141925
Dette CT (Dette Court Terme),90052,81992,87280,97312
Dette Fournisseur,10200,9261,12928,15553
Dette Long/Moyen Terme,53116,58077,62974,20940
Dette Nette,41362,43397,39345,18502
Emplois Stables (Actifs LT),27577,29886,30494,31396
FR,N/A,N/A,N/A,N/A
Provision,N/A,N/A,N/A,N/A
Ressources circulants (ou Courants),90052,81992,87280,97312
Ressources Stables (Passifs LT),62896,71406,82931,44613
Stock,77357,78175,80892,75435
Total Bilan,137100,138552,152136,133625
Trésorerie net,14614,8052,7752,9485
Excédent Brut d'exploitation (EBE),-1222,-451,-10232,567
Bénéfice Avant Intérêts et Impôts (EBIT),-3547,-2902,-12767,-1975
Bénéfice Avant Intérêts, Impôts, Dépréciation et Amortissement (EBITDA),-1222,-451,-10232,567
Capacité d'Autofinancement (CAF),-423,624,-7471,2357
Charges Financières,2533,2682,2156,722
Chiffre d'Affaires (CA),66608,62286,58158,76559
Chiffre d'Affaires à l'Exportation,N/A,N/A,N/A,N/A
Chiffre d'Affaires de l'année précédente (CA (n-1)),62286,58158,76559,101127
Consommation des Tiers TTC (Toutes Taxes Comprises),7091,6019,3283,6141
Production Vendue,66608,62286,58158,76559
Résultat Net,-4935,-4202,-11873,-636
Cash Flow Opérationnel (CFO),N/A,N/A,N/A,N/A
Free Cash Flow (FCF),2290,-4396,-19713,-4280
Funds from Operations (FFO),N/A,N/A,N/A,N/A
