Liste indicateur LVMH,2022,2021,2020,2019
Actifs Circulants (ou Actifs Courants),39740,34301,39973,26510
BFR,N/A,N/A,N/A,N/A
Capitaux propre,56604,48909,38829,38365
Créance Client,4258,3787,2756,3450
Créance Douteuse,N/A,N/A,N/A,N/A
Dette,78042,76402,69842,58142
Dette CT (Dette Court Terme),11991,10462,12801,9783
Dette Fournisseur,8788,7086,5098,5814
Dette Long/Moyen Terme,23156,24052,24730,15474
Dette Nette,24295,23949,16816,18851
Emplois Stables (Actifs LT),94906,91010,68698,69997
FR,N/A,N/A,N/A,N/A
Provision,9553,9174,6698,6305
Ressources circulants (ou Courants),31543,27989,25318,22623
Ressources Stables (Passifs LT),46499,48413,44524,35519
Stock,20319,16549,13016,13717
Total Bilan,134646,125311,108671,96507
Trésorerie net,7300,8021,19963,5673
Excédent Brut d'exploitation (EBE),27190,22972,14064,16353
Bénéfice Avant Intérêts et Impôts (EBIT),20964,17142,8014,11245
Bénéfice Avant Intérêts, Impôts, Dépréciation et Amortissement (EBITDA),27190,22972,14064,16353
Capacité d'Autofinancement (CAF),20581,18067,11068,12676
Charges Financières,271,201,316,397
Chiffre d'Affaires (CA),79184,64215,44651,53670
Chiffre d'Affaires à l'Exportation,N/A,N/A,N/A,N/A
Chiffre d'Affaires de l'année précédente (CA (n-1)),64215,44651,53670,46826
Consommation des Tiers TTC (Toutes Taxes Comprises),51243,41769,31712,36653
Production Vendue,78762,64215,44651,53302
Résultat Net,14084,12036,4702,7171
Cash Flow Opérationnel (CFO),N/A,N/A,N/A,N/A
Free Cash Flow (FCF),13483,16130,8431,8353
Funds from Operations (FFO),N/A,N/A,N/A,N/A
