Liste indicateur Total Énergie,2022,2021,2020,2019
Actifs Circulants (ou Actifs Courants),125724,111136,79679,85265
BFR,-10237,-2558,-3813,-1510
Capitaux propre,114570,114999,106085,119305
Créance Client,24378,21983,14068,18488
Créance Douteuse,N/A,N/A,N/A,N/A
Dette,189294,178459,160047,153989
Dette CT (Dette Court Terme),109778,95102,64676,70244
Dette Fournisseur,41346,36837,23574,28394
Dette Long/Moyen Terme,41518,48014,58588,46079
Dette Nette,14377,29434,37865,27898
Emplois Stables (Actifs LT),178140,182322,186453,188029
FR,43263,23900,35081,28862
Provision,21402,20269,20925,20613
Ressources circulants (ou Courants),109778,95102,64676,70244
Ressources Stables (Passifs LT),79516,83357,95371,83745
Stock,22936,19952,14730,17132
Total Bilan,303864,293458,266132,273294
Trésorerie net,33026,21342,31268,27352
Excédent Brut d'exploitation (EBE),60382,38635,17277,32629
Bénéfice Avant Intérêts et Impôts (EBIT),46702,24292,-5584,16228
Bénéfice Avant Intérêts, Impôts, Dépréciation et Amortissement (EBITDA),60382,38635,17277,32629
Capacité d'Autofinancement (CAF),33990,31113,17842,30075
Charges Financières,1243,1525,2110,2352
Chiffre d'Affaires (CA),280999,205863,140685,200316
Chiffre d'Affaires à l'Exportation,N/A,N/A,N/A,N/A
Chiffre d'Affaires de l'année précédente (CA (n-1)),205863,140685,200316,209363
Consommation des Tiers TTC (Toutes Taxes Comprises),250322,180221,136751,175978
Production Vendue,263310,184634,119704,176249
Résultat Net,20526,16032,-7242,11267
Cash Flow Opérationnel (CFO),31244,24300,9997,17421
Free Cash Flow (FCF),31677,18067,4039,12875
Funds from Operations (FFO),34638,23320,-3865,12745
